Year_of_Death,County_of_Residence,Age,Race_Ethnicity,Total_Deaths_ethnicity
2017,Marin,80 - 84 years,Other/Unknown,6
2017,Marin,85 - 89 years,Hispanic,6
2017,Marin,85 - 89 years,White,290
2017,Marin,85 - 89 years,Asian,14
2017,Marin,85 - 89 years,Black/African-American,6
2017,Marin,85 - 89 years,Multi-Race,6
2017,Marin,85 - 89 years,Native American/Alaskan Native,6
2017,Marin,85 - 89 years,Pacific Islander/Native Hawaiian,0
2017,Marin,85 - 89 years,Other/Unknown,6
2017,Marin,90 - 94 years,Hispanic,11
2017,Marin,90 - 94 years,White,295
2017,Marin,90 - 94 years,Asian,16
2017,Marin,90 - 94 years,Black/African-American,6
2017,Marin,90 - 94 years,Multi-Race,6
2017,Marin,90 - 94 years,Native American/Alaskan Native,0
2017,Marin,90 - 94 years,Pacific Islander/Native Hawaiian,0
2017,Marin,90 - 94 years,Other/Unknown,6
2017,Marin,95 - 99 years,Hispanic,6
2017,Marin,95 - 99 years,White,177
2017,Marin,95 - 99 years,Asian,6
2017,Marin,95 - 99 years,Black/African-American,6
2017,Marin,95 - 99 years,Multi-Race,6
2017,Marin,95 - 99 years,Native American/Alaskan Native,0
2017,Marin,95 - 99 years,Pacific Islander/Native Hawaiian,6
2017,Marin,95 - 99 years,Other/Unknown,0
2017,Marin,100 years and over,Hispanic,0
2017,Marin,100 years and over,White,45
2017,Marin,100 years and over,Asian,6
2017,Marin,100 years and over,Black/African-American,0
2017,Marin,100 years and over,Multi-Race,0
2017,Marin,100 years and over,Native American/Alaskan Native,0
2017,Marin,100 years and over,Pacific Islander/Native Hawaiian,0
2017,Marin,100 years and over,Other/Unknown,6
2017,Mariposa,Less than 1 year,Hispanic,0
2017,Mariposa,Less than 1 year,White,0
2017,Mariposa,Less than 1 year,Asian,0
2017,Mariposa,Less than 1 year,Black/African-American,0
2017,Mariposa,Less than 1 year,Multi-Race,0
2017,Mariposa,Less than 1 year,Native American/Alaskan Native,0
2017,Mariposa,Less than 1 year,Pacific Islander/Native Hawaiian,0
2017,Mariposa,Less than 1 year,Other/Unknown,0
2017,Mariposa,1 - 4 years,Hispanic,0
2017,Mariposa,1 - 4 years,White,0
2017,Mariposa,1 - 4 years,Asian,0
2017,Mariposa,1 - 4 years,Black/African-American,0
2017,Mariposa,1 - 4 years,Multi-Race,0
2017,Mariposa,1 - 4 years,Native American/Alaskan Native,0
2017,Mariposa,1 - 4 years,Pacific Islander/Native Hawaiian,0
2017,Mariposa,1 - 4 years,Other/Unknown,0
2017,Mariposa,5 - 9 years,Hispanic,0
2017,Mariposa,5 - 9 years,White,0
2017,Mariposa,5 - 9 years,Asian,0
2017,Mariposa,5 - 9 years,Black/African-American,0
2017,Mariposa,5 - 9 years,Multi-Race,0
2017,Mariposa,5 - 9 years,Native American/Alaskan Native,0
2017,Mariposa,5 - 9 years,Pacific Islander/Native Hawaiian,0
2017,Mariposa,5 - 9 years,Other/Unknown,0
2017,Mariposa,10 - 14 years,Hispanic,0
2017,Mariposa,10 - 14 years,White,0
2017,Mariposa,10 - 14 years,Asian,0
2017,Mariposa,10 - 14 years,Black/African-American,0
2017,Mariposa,10 - 14 years,Multi-Race,0
2017,Mariposa,10 - 14 years,Native American/Alaskan Native,0
2017,Mariposa,10 - 14 years,Pacific Islander/Native Hawaiian,0
2017,Mariposa,10 - 14 years,Other/Unknown,0
2017,Mariposa,15 - 19 years,Hispanic,0
2017,Mariposa,15 - 19 years,White,6
2017,Mariposa,15 - 19 years,Asian,0
2017,Mariposa,15 - 19 years,Black/African-American,0
2017,Mariposa,15 - 19 years,Multi-Race,0
2017,Mariposa,15 - 19 years,Native American/Alaskan Native,0
2017,Mariposa,15 - 19 years,Pacific Islander/Native Hawaiian,0
2017,Mariposa,15 - 19 years,Other/Unknown,0
2017,Mariposa,20 - 24 years,Hispanic,0
2017,Mariposa,20 - 24 years,White,0
2017,Mariposa,20 - 24 years,Asian,0
2017,Mariposa,20 - 24 years,Black/African-American,0
2017,Mariposa,20 - 24 years,Multi-Race,0
2017,Mariposa,20 - 24 years,Native American/Alaskan Native,0
2017,Mariposa,20 - 24 years,Pacific Islander/Native Hawaiian,0
2017,Mariposa,20 - 24 years,Other/Unknown,0
2017,Mariposa,25 - 29 years,Hispanic,0
2017,Mariposa,25 - 29 years,White,6
2017,Mariposa,25 - 29 years,Asian,0
2017,Mariposa,25 - 29 years,Black/African-American,0
2017,Mariposa,25 - 29 years,Multi-Race,0
2017,Mariposa,25 - 29 years,Native American/Alaskan Native,0
2017,Mariposa,25 - 29 years,Pacific Islander/Native Hawaiian,0
2017,Mariposa,25 - 29 years,Other/Unknown,0
2017,Mariposa,30 - 34 years,Hispanic,0
2017,Mariposa,30 - 34 years,White,6
2017,Mariposa,30 - 34 years,Asian,0
2017,Mariposa,30 - 34 years,Black/African-American,0
2017,Mariposa,30 - 34 years,Multi-Race,0
2017,Mariposa,30 - 34 years,Native American/Alaskan Native,0
2017,Mariposa,30 - 34 years,Pacific Islander/Native Hawaiian,0
2017,Mariposa,30 - 34 years,Other/Unknown,0
2017,Mariposa,35 - 39 years,Hispanic,0
2017,Mariposa,35 - 39 years,White,6
2017,Mariposa,35 - 39 years,Asian,0
2017,Mariposa,35 - 39 years,Black/African-American,0
2017,Mariposa,35 - 39 years,Multi-Race,0
2017,Mariposa,35 - 39 years,Native American/Alaskan Native,0
2017,Mariposa,35 - 39 years,Pacific Islander/Native Hawaiian,0
2017,Mariposa,35 - 39 years,Other/Unknown,0
2017,Mariposa,40 - 44 years,Hispanic,0
2017,Mariposa,40 - 44 years,White,0
2017,Mariposa,40 - 44 years,Asian,0
2017,Mariposa,40 - 44 years,Black/African-American,0
2017,Mariposa,40 - 44 years,Multi-Race,0
2017,Mariposa,40 - 44 years,Native American/Alaskan Native,0
2017,Mariposa,40 - 44 years,Pacific Islander/Native Hawaiian,0
2017,Mariposa,40 - 44 years,Other/Unknown,0
2017,Mariposa,45 - 49 years,Hispanic,0
2017,Mariposa,45 - 49 years,White,0
2017,Mariposa,45 - 49 years,Asian,0
2017,Mariposa,45 - 49 years,Black/African-American,0
2017,Mariposa,45 - 49 years,Multi-Race,0
2017,Mariposa,45 - 49 years,Native American/Alaskan Native,6
2017,Mariposa,45 - 49 years,Pacific Islander/Native Hawaiian,0
2017,Mariposa,45 - 49 years,Other/Unknown,0
2017,Mariposa,50 - 54 years,Hispanic,0
2017,Mariposa,50 - 54 years,White,6
2017,Mariposa,50 - 54 years,Asian,0
2017,Mariposa,50 - 54 years,Black/African-American,0
2017,Mariposa,50 - 54 years,Multi-Race,0
2017,Mariposa,50 - 54 years,Native American/Alaskan Native,0
2017,Mariposa,50 - 54 years,Pacific Islander/Native Hawaiian,0
2017,Mariposa,50 - 54 years,Other/Unknown,0
2017,Mariposa,55 - 59 years,Hispanic,0
2017,Mariposa,55 - 59 years,White,12
2017,Mariposa,55 - 59 years,Asian,0
2017,Mariposa,55 - 59 years,Black/African-American,0
2017,Mariposa,55 - 59 years,Multi-Race,0
2017,Mariposa,55 - 59 years,Native American/Alaskan Native,0
2017,Mariposa,55 - 59 years,Pacific Islander/Native Hawaiian,0
2017,Mariposa,55 - 59 years,Other/Unknown,0
2017,Mariposa,60 - 64 years,Hispanic,6
2017,Mariposa,60 - 64 years,White,16
2017,Mariposa,60 - 64 years,Asian,0
2017,Mariposa,60 - 64 years,Black/African-American,0
2017,Mariposa,60 - 64 years,Multi-Race,0
2017,Mariposa,60 - 64 years,Native American/Alaskan Native,0
2017,Mariposa,60 - 64 years,Pacific Islander/Native Hawaiian,0
2017,Mariposa,60 - 64 years,Other/Unknown,0
2017,Mariposa,65 - 69 years,Hispanic,6
2017,Mariposa,65 - 69 years,White,23
2017,Mariposa,65 - 69 years,Asian,0
2017,Mariposa,65 - 69 years,Black/African-American,0
2017,Mariposa,65 - 69 years,Multi-Race,0
2017,Mariposa,65 - 69 years,Native American/Alaskan Native,6
2017,Mariposa,65 - 69 years,Pacific Islander/Native Hawaiian,0
2017,Mariposa,65 - 69 years,Other/Unknown,0
2017,Mariposa,70 - 74 years,Hispanic,6
2017,Mariposa,70 - 74 years,White,22
2017,Mariposa,70 - 74 years,Asian,0
2017,Mariposa,70 - 74 years,Black/African-American,0
2017,Mariposa,70 - 74 years,Multi-Race,6
2017,Mariposa,70 - 74 years,Native American/Alaskan Native,0
2017,Mariposa,70 - 74 years,Pacific Islander/Native Hawaiian,0
2017,Mariposa,70 - 74 years,Other/Unknown,0
2017,Mariposa,75 - 79 years,Hispanic,0
2017,Mariposa,75 - 79 years,White,18
2017,Mariposa,75 - 79 years,Asian,0
2017,Mariposa,75 - 79 years,Black/African-American,0
2017,Mariposa,75 - 79 years,Multi-Race,0
2017,Mariposa,75 - 79 years,Native American/Alaskan Native,0
2017,Mariposa,75 - 79 years,Pacific Islander/Native Hawaiian,0
2017,Mariposa,75 - 79 years,Other/Unknown,0
2017,Mariposa,80 - 84 years,Hispanic,6
2017,Mariposa,80 - 84 years,White,30
2017,Mariposa,80 - 84 years,Asian,0
2017,Mariposa,80 - 84 years,Black/African-American,0
2017,Mariposa,80 - 84 years,Multi-Race,0
2017,Mariposa,80 - 84 years,Native American/Alaskan Native,6
2017,Mariposa,80 - 84 years,Pacific Islander/Native Hawaiian,0
2017,Mariposa,80 - 84 years,Other/Unknown,0
2017,Mariposa,85 - 89 years,Hispanic,0
2017,Mariposa,85 - 89 years,White,25
2017,Mariposa,85 - 89 years,Asian,0
2017,Mariposa,85 - 89 years,Black/African-American,0
2017,Mariposa,85 - 89 years,Multi-Race,6
2017,Mariposa,85 - 89 years,Native American/Alaskan Native,6
2017,Mariposa,85 - 89 years,Pacific Islander/Native Hawaiian,0
2017,Mariposa,85 - 89 years,Other/Unknown,0
2017,Mariposa,90 - 94 years,Hispanic,6
2017,Mariposa,90 - 94 years,White,23
2017,Mariposa,90 - 94 years,Asian,0
2017,Mariposa,90 - 94 years,Black/African-American,0
2017,Mariposa,90 - 94 years,Multi-Race,0
2017,Mariposa,90 - 94 years,Native American/Alaskan Native,0
2017,Mariposa,90 - 94 years,Pacific Islander/Native Hawaiian,0
2017,Mariposa,90 - 94 years,Other/Unknown,0
2017,Mariposa,95 - 99 years,Hispanic,0
2017,Mariposa,95 - 99 years,White,6
2017,Mariposa,95 - 99 years,Asian,0
2017,Mariposa,95 - 99 years,Black/African-American,0
2017,Mariposa,95 - 99 years,Multi-Race,0
2017,Mariposa,95 - 99 years,Native American/Alaskan Native,0
2017,Mariposa,95 - 99 years,Pacific Islander/Native Hawaiian,0
2017,Mariposa,95 - 99 years,Other/Unknown,0
2017,Mariposa,100 years and over,Hispanic,0
2017,Mariposa,100 years and over,White,0
2017,Mariposa,100 years and over,Asian,0
2017,Mariposa,100 years and over,Black/African-American,0
2017,Mariposa,100 years and over,Multi-Race,0
2017,Mariposa,100 years and over,Native American/Alaskan Native,0
2017,Mariposa,100 years and over,Pacific Islander/Native Hawaiian,0
2017,Mariposa,100 years and over,Other/Unknown,0
2017,Mendocino,Less than 1 year,Hispanic,6
2017,Mendocino,Less than 1 year,White,6
2017,Mendocino,Less than 1 year,Asian,0
2017,Mendocino,Less than 1 year,Black/African-American,0
2017,Mendocino,Less than 1 year,Multi-Race,6
2017,Mendocino,Less than 1 year,Native American/Alaskan Native,0
2017,Mendocino,Less than 1 year,Pacific Islander/Native Hawaiian,0
2017,Mendocino,Less than 1 year,Other/Unknown,0
2017,Mendocino,1 - 4 years,Hispanic,6
2017,Mendocino,1 - 4 years,White,6
2017,Mendocino,1 - 4 years,Asian,0
2017,Mendocino,1 - 4 years,Black/African-American,0
2017,Mendocino,1 - 4 years,Multi-Race,0
2017,Mendocino,1 - 4 years,Native American/Alaskan Native,0
2017,Mendocino,1 - 4 years,Pacific Islander/Native Hawaiian,0
2017,Mendocino,1 - 4 years,Other/Unknown,0
2017,Mendocino,5 - 9 years,Hispanic,0
2017,Mendocino,5 - 9 years,White,6
2017,Mendocino,5 - 9 years,Asian,0
2017,Mendocino,5 - 9 years,Black/African-American,0
2017,Mendocino,5 - 9 years,Multi-Race,0
2017,Mendocino,5 - 9 years,Native American/Alaskan Native,0
2017,Mendocino,5 - 9 years,Pacific Islander/Native Hawaiian,0
2017,Mendocino,5 - 9 years,Other/Unknown,0
2017,Mendocino,10 - 14 years,Hispanic,0
2017,Mendocino,10 - 14 years,White,6
2017,Mendocino,10 - 14 years,Asian,0
2017,Mendocino,10 - 14 years,Black/African-American,0
2017,Mendocino,10 - 14 years,Multi-Race,0
2017,Mendocino,10 - 14 years,Native American/Alaskan Native,0
2017,Mendocino,10 - 14 years,Pacific Islander/Native Hawaiian,0
2017,Mendocino,10 - 14 years,Other/Unknown,0
2017,Mendocino,15 - 19 years,Hispanic,0
2017,Mendocino,15 - 19 years,White,6
2017,Mendocino,15 - 19 years,Asian,0
2017,Mendocino,15 - 19 years,Black/African-American,0
2017,Mendocino,15 - 19 years,Multi-Race,0
2017,Mendocino,15 - 19 years,Native American/Alaskan Native,0
2017,Mendocino,15 - 19 years,Pacific Islander/Native Hawaiian,0
2017,Mendocino,15 - 19 years,Other/Unknown,0
2017,Mendocino,20 - 24 years,Hispanic,6
2017,Mendocino,20 - 24 years,White,6
2017,Mendocino,20 - 24 years,Asian,0
2017,Mendocino,20 - 24 years,Black/African-American,0
2017,Mendocino,20 - 24 years,Multi-Race,0
2017,Mendocino,20 - 24 years,Native American/Alaskan Native,6
2017,Mendocino,20 - 24 years,Pacific Islander/Native Hawaiian,0
2017,Mendocino,20 - 24 years,Other/Unknown,0
2017,Mendocino,25 - 29 years,Hispanic,6
2017,Mendocino,25 - 29 years,White,6
2017,Mendocino,25 - 29 years,Asian,0
2017,Mendocino,25 - 29 years,Black/African-American,0
2017,Mendocino,25 - 29 years,Multi-Race,0
2017,Mendocino,25 - 29 years,Native American/Alaskan Native,0
2017,Mendocino,25 - 29 years,Pacific Islander/Native Hawaiian,0
2017,Mendocino,25 - 29 years,Other/Unknown,0
2017,Mendocino,30 - 34 years,Hispanic,6
2017,Mendocino,30 - 34 years,White,6
2017,Mendocino,30 - 34 years,Asian,0
2017,Mendocino,30 - 34 years,Black/African-American,0
2017,Mendocino,30 - 34 years,Multi-Race,0
2017,Mendocino,30 - 34 years,Native American/Alaskan Native,6
2017,Mendocino,30 - 34 years,Pacific Islander/Native Hawaiian,0
2017,Mendocino,30 - 34 years,Other/Unknown,0
2017,Mendocino,35 - 39 years,Hispanic,6
2017,Mendocino,35 - 39 years,White,6
2017,Mendocino,35 - 39 years,Asian,0
2017,Mendocino,35 - 39 years,Black/African-American,0
2017,Mendocino,35 - 39 years,Multi-Race,0
2017,Mendocino,35 - 39 years,Native American/Alaskan Native,0
2017,Mendocino,35 - 39 years,Pacific Islander/Native Hawaiian,0
2017,Mendocino,35 - 39 years,Other/Unknown,0
2017,Mendocino,40 - 44 years,Hispanic,6
2017,Mendocino,40 - 44 years,White,6
2017,Mendocino,40 - 44 years,Asian,6
2017,Mendocino,40 - 44 years,Black/African-American,0
2017,Mendocino,40 - 44 years,Multi-Race,0
2017,Mendocino,40 - 44 years,Native American/Alaskan Native,6
2017,Mendocino,40 - 44 years,Pacific Islander/Native Hawaiian,0
2017,Mendocino,40 - 44 years,Other/Unknown,0
2017,Mendocino,45 - 49 years,Hispanic,6
2017,Mendocino,45 - 49 years,White,16
2017,Mendocino,45 - 49 years,Asian,6
2017,Mendocino,45 - 49 years,Black/African-American,0
2017,Mendocino,45 - 49 years,Multi-Race,6
2017,Mendocino,45 - 49 years,Native American/Alaskan Native,6
2017,Mendocino,45 - 49 years,Pacific Islander/Native Hawaiian,0
2017,Mendocino,45 - 49 years,Other/Unknown,0
2017,Mendocino,50 - 54 years,Hispanic,6
2017,Mendocino,50 - 54 years,White,24
2017,Mendocino,50 - 54 years,Asian,0
2017,Mendocino,50 - 54 years,Black/African-American,0
2017,Mendocino,50 - 54 years,Multi-Race,0
2017,Mendocino,50 - 54 years,Native American/Alaskan Native,6
2017,Mendocino,50 - 54 years,Pacific Islander/Native Hawaiian,0
2017,Mendocino,50 - 54 years,Other/Unknown,0
2017,Mendocino,55 - 59 years,Hispanic,6
2017,Mendocino,55 - 59 years,White,41
2017,Mendocino,55 - 59 years,Asian,0
2017,Mendocino,55 - 59 years,Black/African-American,0
2017,Mendocino,55 - 59 years,Multi-Race,6
2017,Mendocino,55 - 59 years,Native American/Alaskan Native,6
2017,Mendocino,55 - 59 years,Pacific Islander/Native Hawaiian,0
2017,Mendocino,55 - 59 years,Other/Unknown,0
2017,Mendocino,60 - 64 years,Hispanic,6
2017,Mendocino,60 - 64 years,White,54
2017,Mendocino,60 - 64 years,Asian,0
2017,Mendocino,60 - 64 years,Black/African-American,6
2017,Mendocino,60 - 64 years,Multi-Race,6
2017,Mendocino,60 - 64 years,Native American/Alaskan Native,6
2017,Mendocino,60 - 64 years,Pacific Islander/Native Hawaiian,0
2017,Mendocino,60 - 64 years,Other/Unknown,0
2017,Mendocino,65 - 69 years,Hispanic,6
2017,Mendocino,65 - 69 years,White,76
2017,Mendocino,65 - 69 years,Asian,6
2017,Mendocino,65 - 69 years,Black/African-American,6
2017,Mendocino,65 - 69 years,Multi-Race,0
2017,Mendocino,65 - 69 years,Native American/Alaskan Native,6
2017,Mendocino,65 - 69 years,Pacific Islander/Native Hawaiian,0
2017,Mendocino,65 - 69 years,Other/Unknown,0
2017,Mendocino,70 - 74 years,Hispanic,6
2017,Mendocino,70 - 74 years,White,103
2017,Mendocino,70 - 74 years,Asian,0
2017,Mendocino,70 - 74 years,Black/African-American,6
2017,Mendocino,70 - 74 years,Multi-Race,6
2017,Mendocino,70 - 74 years,Native American/Alaskan Native,6
2017,Mendocino,70 - 74 years,Pacific Islander/Native Hawaiian,0
2017,Mendocino,70 - 74 years,Other/Unknown,0
2017,Mendocino,75 - 79 years,Hispanic,6
2017,Mendocino,75 - 79 years,White,88
2017,Mendocino,75 - 79 years,Asian,0
2017,Mendocino,75 - 79 years,Black/African-American,0
2017,Mendocino,75 - 79 years,Multi-Race,6
2017,Mendocino,75 - 79 years,Native American/Alaskan Native,6
2017,Mendocino,75 - 79 years,Pacific Islander/Native Hawaiian,0
2017,Mendocino,75 - 79 years,Other/Unknown,0
2017,Mendocino,80 - 84 years,Hispanic,6
2017,Mendocino,80 - 84 years,White,100
2017,Mendocino,80 - 84 years,Asian,6
2017,Mendocino,80 - 84 years,Black/African-American,0
2017,Mendocino,80 - 84 years,Multi-Race,6
2017,Mendocino,80 - 84 years,Native American/Alaskan Native,6
2017,Mendocino,80 - 84 years,Pacific Islander/Native Hawaiian,0
2017,Mendocino,80 - 84 years,Other/Unknown,6
2017,Mendocino,85 - 89 years,Hispanic,6
2017,Mendocino,85 - 89 years,White,102
2017,Mendocino,85 - 89 years,Asian,6
2017,Mendocino,85 - 89 years,Black/African-American,0
2017,Mendocino,85 - 89 years,Multi-Race,0
2017,Mendocino,85 - 89 years,Native American/Alaskan Native,6
2017,Mendocino,85 - 89 years,Pacific Islander/Native Hawaiian,0
2017,Mendocino,85 - 89 years,Other/Unknown,0
2017,Mendocino,90 - 94 years,Hispanic,6
2017,Mendocino,90 - 94 years,White,81
2017,Mendocino,90 - 94 years,Asian,6
2017,Mendocino,90 - 94 years,Black/African-American,0
2017,Mendocino,90 - 94 years,Multi-Race,6
2017,Mendocino,90 - 94 years,Native American/Alaskan Native,0
2017,Mendocino,90 - 94 years,Pacific Islander/Native Hawaiian,0
2017,Mendocino,90 - 94 years,Other/Unknown,0
2017,Mendocino,95 - 99 years,Hispanic,6
2017,Mendocino,95 - 99 years,White,29
2017,Mendocino,95 - 99 years,Asian,6
2017,Mendocino,95 - 99 years,Black/African-American,0
2017,Mendocino,95 - 99 years,Multi-Race,0
2017,Mendocino,95 - 99 years,Native American/Alaskan Native,6
2017,Mendocino,95 - 99 years,Pacific Islander/Native Hawaiian,0
2017,Mendocino,95 - 99 years,Other/Unknown,0
2017,Mendocino,100 years and over,Hispanic,0
2017,Mendocino,100 years and over,White,6
2017,Mendocino,100 years and over,Asian,0
2017,Mendocino,100 years and over,Black/African-American,0
2017,Mendocino,100 years and over,Multi-Race,6
2017,Mendocino,100 years and over,Native American/Alaskan Native,6
2017,Mendocino,100 years and over,Pacific Islander/Native Hawaiian,0
2017,Mendocino,100 years and over,Other/Unknown,0
2017,Merced,Less than 1 year,Hispanic,14
2017,Merced,Less than 1 year,White,6
2017,Merced,Less than 1 year,Asian,6
2017,Merced,Less than 1 year,Black/African-American,0
2017,Merced,Less than 1 year,Multi-Race,6
2017,Merced,Less than 1 year,Native American/Alaskan Native,0
2017,Merced,Less than 1 year,Pacific Islander/Native Hawaiian,0
2017,Merced,Less than 1 year,Other/Unknown,0
2017,Merced,1 - 4 years,Hispanic,6
2017,Merced,1 - 4 years,White,6
2017,Merced,1 - 4 years,Asian,0
2017,Merced,1 - 4 years,Black/African-American,6
2017,Merced,1 - 4 years,Multi-Race,0
2017,Merced,1 - 4 years,Native American/Alaskan Native,0
2017,Merced,1 - 4 years,Pacific Islander/Native Hawaiian,0
2017,Merced,1 - 4 years,Other/Unknown,0
2017,Merced,5 - 9 years,Hispanic,6
2017,Merced,5 - 9 years,White,0
2017,Merced,5 - 9 years,Asian,0
2017,Merced,5 - 9 years,Black/African-American,6
2017,Merced,5 - 9 years,Multi-Race,0
2017,Merced,5 - 9 years,Native American/Alaskan Native,0
2017,Merced,5 - 9 years,Pacific Islander/Native Hawaiian,0
2017,Merced,5 - 9 years,Other/Unknown,0
2017,Merced,10 - 14 years,Hispanic,6
2017,Merced,10 - 14 years,White,6
2017,Merced,10 - 14 years,Asian,0
2017,Merced,10 - 14 years,Black/African-American,0
2017,Merced,10 - 14 years,Multi-Race,0
2017,Merced,10 - 14 years,Native American/Alaskan Native,0
2017,Merced,10 - 14 years,Pacific Islander/Native Hawaiian,0
2017,Merced,10 - 14 years,Other/Unknown,0
2017,Merced,15 - 19 years,Hispanic,11
2017,Merced,15 - 19 years,White,6
2017,Merced,15 - 19 years,Asian,0
2017,Merced,15 - 19 years,Black/African-American,0
2017,Merced,15 - 19 years,Multi-Race,0
2017,Merced,15 - 19 years,Native American/Alaskan Native,0
2017,Merced,15 - 19 years,Pacific Islander/Native Hawaiian,0
